clave provincinombre establecimiento                                           localidad                              tipo organización
0001JI0947    JARDIN DE INFANTES Nº947 "DARDO ROCHA"                           ANGEL ETCHEVERRY                       JARDÍN DE INFANTES
0001JI0948    JARDIN DE INFANTES Nº948 "JORGE A. SIMINI"                       LA PLATA                               JARDÍN DE INFANTES
0001JI0949    JARDIN DE INFANTES Nº949 "DIONISO ASCUENAGA"                     ANGEL ETCHEVERRY                       JARDÍN DE INFANTES
0001JI0950    JARDIN DE INFANTES Nº950 "DR.CARLOS SAAVEDRA LAMAS"              LA PLATA                               JARDÍN DE INFANTES
0001JI0951    JARDIN DE INFANTES Nº951 "LIA ESTHER GIUSTI"                     LA PLATA                               JARDÍN DE INFANTES
0001JI0952    JARDIN DE INFANTES Nº952                                         LA PLATA                               JARDÍN DE INFANTES
0001JI0953    JARDIN DE INFANTES Nº953 "CLOTILDE GUILLEN DE REZZANO"           JOSE HERNANDEZ                         JARDÍN DE INFANTES
0001JI0954    JARDIN DE INFANTES Nº954 "DR. RICARDO A FUERTES"                 LA PLATA                               JARDÍN DE INFANTES
0001JI0955    JARDIN DE INFANTES Nº955 "ATILIO BOVERI"                         MANUEL B. GONNET                       JARDÍN DE INFANTES
0001JI0956    JARDIN DE INFANTES Nº956 "JOAQUIN V. GONZALEZ"                   LA PLATA                               JARDÍN DE INFANTES
0001JI0957    JARDIN DE INFANTES Nº957                                         City Bell                              JARDÍN DE INFANTES
0001JI0958    JARDIN DE INFANTES Nº958 "OTILIA ALDAZABAL DE TORINO"            LA PLATA                               JARDÍN DE INFANTES
0001JI0959    JARDIN DE INFANTES Nº959 "MADRE TERESA DE CALCUTA"               EL PELIGRO                             JARDÍN DE INFANTES
0001JI0960    JARDIN DE INFANTES Nº960                                         City Bell                              JARDÍN DE INFANTES
0001JI0961    JARDIN DE INFANTES Nº961 "LAS CASARUINAS"                        LISANDRO OLMOS                         JARDÍN DE INFANTES
0001JI0962    JARDIN DE INFANTES Nº962 "LOLA MORA"                             LOS HORNOS                             JARDÍN DE INFANTES
0001JI0963    JARDIN DE INFANTES Nº963                                         LOS HORNOS                             JARDÍN DE INFANTES
0001JI0964    JARDIN DE INFANTES Nº964 "BENITA QUINQUELA MARTIN"               LOS HORNOS                             JARDÍN DE INFANTES
0001JI0965    JARDIN DE INFANTES Nº965                                         ARANA                                  JARDÍN DE INFANTES
0001JI0966    JARDIN DE INFANTES Nº966 "ROBERTO T.SPERONI" (INST.SUPERIOR)     City Bell                              JARDÍN DE INFANTES
0001JI0967    JARDIN DE INFANTES Nº967 "MARY O'GRAHAM"                         LA PLATA                               JARDÍN DE INFANTES
0001JI0968    JARDIN DE INFANTES Nº968 "DARDO ROCHA"                           LA PLATA                               JARDÍN DE INFANTES
0001JI0969    JARDIN DE INFANTES Nº969 "ALMAFUERTE"                            LA PLATA                               JARDÍN DE INFANTES
0001JI0970    JARDIN DE INFANTES Nº970 "IGNACIO CORREAS"                       IGNACIO CORREAS                        JARDÍN DE INFANTES
0001JI0971    JARDIN DE INFANTES Nº971                                         TOLOSA                                 JARDÍN DE INFANTES
0001JI0972    JARDIN DE INFANTES Nº972                                         LA PLATA                               JARDÍN DE INFANTES
0001JI0973    JARDIN DE INFANTES Nº973 "DON EMILIO HERRLEIN"                   VILLA GARIBALDI                        JARDÍN DE INFANTES
0001JI0974    JARDIN DE INFANTES Nº974                                         ARANA                                  JARDÍN DE INFANTES
0001JI0975    JARDIN DE INFANTES Nº975                                         LA PLATA                               JARDÍN DE INFANTES
0001JI0976    JARDIN DE INFANTES Nº976 "DOLORES MORA"                          ABASTO                                 JARDÍN DE INFANTES
0001JI0977    JARDIN DE INFANTES Nº977 "JOSE MELCHOR ROMERO"                   MELCHOR ROMERO                         JARDÍN DE INFANTES
0001JI0978    JARDIN DE INFANTES Nº978 "ANTONIO BERNI"                         MELCHOR ROMERO                         JARDÍN DE INFANTES
0001JI0979    JARDIN DE INFANTES Nº979 "ROMULO MASSUCCO"                       ARANA                                  JARDÍN DE INFANTES
0001JI0980    JARDIN DE INFANTES Nº980 "BROTES DEL CEIBO"                      LA PLATA                               JARDÍN DE INFANTES
0001JI0981    JARDIN DE INFANTES Nº981                                         LA PLATA                               JARDÍN DE INFANTES
0001JI0982    JARDIN DE INFANTES Nº982                                         ALTOS DE SAN LORENZO                   JARDÍN DE INFANTES
0001JI0983    JARDIN DE INFANTES Nº983 "RINCON DE LUZ"                         LA PLATA                               JARDÍN DE INFANTES
0001JI0984    JARDIN DE INFANTES Nº984                                         LA PLATA                               JARDÍN DE INFANTES
0001JI0985    JARDIN DE INFANTES Nº985                                         ALTOS DE SAN LORENZO                   JARDÍN DE INFANTES
0001JI0986    JARDIN DE INFANTES Nº986                                         LOS HORNOS                             JARDÍN DE INFANTES
0001JI0987    JARDÍN DE INFANTES Nº987                                         MELCHOR ROMERO                         JARDÍN DE INFANTES
0001JI0988    JARDÍN DE INFANTES Nº988                                         POBLET                                 JARDÍN DE INFANTES
0001JI2660    EXTENSION Nº1 DE JARDÍN DE INFANTES Nº966                        VILLA ELISA                            JARDÍN DE INFANTES
0001JI2661    EXTENSION Nº2 DE JARDÍN DE INFANTES Nº966                        VILLA ELISA                            JARDÍN DE INFANTES
0001JI2662    EXTENSION Nº3 DE JARDÍN DE INFANTES Nº966                        LA PLATA                               JARDÍN DE INFANTES
0001JM0001    JARDIN MATERNAL Nº1 "MARIQUITA S. DE THOMPSON"                   LA PLATA                               JARDÍN MATERNAL
0001JM0002    JARDIN MATERNAL Nº2 "PABLO NERUDA"                               LA PLATA                               JARDÍN MATERNAL
0001JM0003    JARDIN MATERNAL Nº3                                              LA PLATA                               JARDÍN MATERNAL
0001JM0004    JARDÍN MATERNAL Nº4                                              LOS HORNOS                             JARDÍN MATERNAL
0001JS0001    JARDIN DE INFANTES RURAL Nº1                                     LA PLATA                               JARDÍN DE INFANTES RURAL DE MATRÍCULA MÍNIMA
0001MA0001    ESCUELA DE EDUCACIÓN SECUNDARIA AGRARIA Nº1 "DR. ALEJANDRO KORN" ABASTO                                 ESCUELA AGRARIA
0001MF0028    CENTRO DE EDUCACION AGRARIA                                      MELCHOR ROMERO                         CENTRO DE EDUCACIÓN AGRARIA
0001MM0006    ESCUELA DE EDUCACION POLIMODAL Nº6 "REPUBLICA DE MEXICO"         LA PLATA                               ESCUELA DE EDUCACIÓN MEDIA
0001MM0010    ESCUELA POLIMODAL Nº10 "DON BOSCO"                               LA PLATA                               ESCUELA DE EDUCACIÓN MEDIA
0001MM0018    ESCUELA DE EDUCACION MEDIA Nº18                                  LA PLATA                               ESCUELA DE EDUCACIÓN MEDIA
0001MM0019    ESCUELA DE EDUCACION MEDIA Nº19 "TERESA DE CALCUTA"              LOS HORNOS                             ESCUELA DE EDUCACIÓN MEDIA
0001MM0020    ESCUELA DE EDUCACION MEDIA Nº20                                  LA PLATA                               ESCUELA DE EDUCACIÓN MEDIA
0001MM0021    ESCUELA DE EDUCACION MEDIA Nº21                                  LA PLATA                               ESCUELA DE EDUCACIÓN MEDIA
0001MM0023    ESCUELA DE EDUCACION MEDIA Nº23                                  LISANDRO OLMOS                         ESCUELA DE EDUCACIÓN MEDIA
0001MM0024    ESCUELA DE EDUCACION MEDIA Nº24                                  LA PLATA                               ESCUELA DE EDUCACIÓN MEDIA
0001MM0025    ESCUELA DE EDUCACION MEDIA Nº25 "ALICIA MOREAU DE JUSTO"         LA PLATA                               ESCUELA DE EDUCACIÓN MEDIA
0001MM0029    ESCUELA POLIMODAL Nº29 "BENITO LYNCH"                            LA PLATA                               ESCUELA DE EDUCACIÓN MEDIA
0001MM0029    ESCUELA POLIMODAL Nº29 "BENITO LYNCH"                            LA PLATA                               ESCUELA DE EDUCACIÓN MEDIA
0001MM0035    ESCUELA POLIMODAL Nº35 "ROBERTO T. SPERONI"                      City Bell                              ESCUELA DE EDUCACIÓN MEDIA
0001MM0039    ESCUELA DE EDUCACION MEDIA Nº39                                  LISANDRO OLMOS                         ESCUELA DE EDUCACIÓN MEDIA
0001MM0040    ESCUELA DE EDUCACION MEDIA Nº40                                  ABASTO                                 ESCUELA DE EDUCACIÓN MEDIA
0001MM0075    ANEXO A ESCUELA POLIMODAL Nº35 "ROBERTO T. SPERONI"              VILLA ELISA                            ESCUELA DE EDUCACIÓN MEDIA
0001MM2180    EXTENSION A MEDIA Nº18                                           LA PLATA                               ESCUELA DE EDUCACIÓN MEDIA
0001MM2181    EXTENSION DE ESCUELA MEDIA Nº18                                  MELCHOR ROMERO                         ESCUELA DE EDUCACIÓN MEDIA
0001MM2290    EXTENSION A MM 2290                                              LA PLATA                               ESCUELA DE EDUCACIÓN MEDIA
0001MM2351    EXTENSION Nº2 A MM 35                                            VILLA ELISA                            ESCUELA DE EDUCACIÓN MEDIA
0001MM2352    EXTENSION Nº3 A MM 35                                            LA PLATA                               ESCUELA DE EDUCACIÓN MEDIA
0001MM2401    EXTENSION II A MEDIA Nº40 EL CASTILLITO                          ABASTO                                 ESCUELA DE EDUCACIÓN MEDIA
0001MM2402    EXTENSION DE MEDIA Nº40 CENTRO CERRADO RECEPCION ABASTO          ABASTO                                 ESCUELA DE EDUCACIÓN MEDIA
0001MM2403    EXTENSION DE MEDIA Nº40 CENTRO CERRADO C.O.P.A                   ABASTO                                 ESCUELA DE EDUCACIÓN MEDIA
0001MM2404    EXTENSION DE MEDIA Nº40 CENTRO CERRADO LEGARRA                   ABASTO                                 ESCUELA DE EDUCACIÓN MEDIA
0001MM2405    EXTENSION DE MEDIA Nº40 ALMAFUERTE                               ABASTO                                 ESCUELA DE EDUCACIÓN MEDIA
0001MM2406    EXTENSION DE MEDIA Nº40 CENTRO CERRADO CARLOS IBARRA             ABASTO                                 ESCUELA DE EDUCACIÓN MEDIA
0001MM2407    EXTENSION Nº7 A ESCUELA MEDIA Nº40 CENTRO CERRADO EVA PERÓN      LA PLATA                               ESCUELA DE EDUCACIÓN MEDIA
0001MS0001    ESCUELA DE EDUCACIÓN SECUNDARIA Nº1 "MANUEL BELGRANO"            LA PLATA                               ESCUELA SECUNDARIA
0001MS0001    ESCUELA DE EDUCACIÓN SECUNDARIA Nº1 "MANUEL BELGRANO"            LA PLATA                               ESCUELA SECUNDARIA
0001MS0002    ESCUELA DE EDUCACIÓN SECUNDARIA Nº2 "ESPAÑA"                     LA PLATA                               ESCUELA SECUNDARIA
0001MS0002    ESCUELA DE EDUCACIÓN SECUNDARIA Nº2 "ESPAÑA"                     LA PLATA                               ESCUELA SECUNDARIA
0001MS0002    ESCUELA DE EDUCACIÓN SECUNDARIA Nº2 "ESPAÑA"                     LA PLATA                               ESCUELA SECUNDARIA
0001MS0003    ESCUELA DE EDUCACIÓN SECUNDARIA Nº3 "NACIONES UNIDAS"            LOS HORNOS                             ESCUELA SECUNDARIA
0001MS0003    ESCUELA DE EDUCACIÓN SECUNDARIA Nº3 "NACIONES UNIDAS"            LOS HORNOS                             ESCUELA SECUNDARIA
0001MS0004    ESCUELA DE EDUCACIÓN SECUNDARIA Nº4 "19 DE NOVIEMBRE"            City Bell                              ESCUELA SECUNDARIA
0001MS0004    ESCUELA DE EDUCACIÓN SECUNDARIA Nº4 "19 DE NOVIEMBRE"            City Bell                              ESCUELA SECUNDARIA
0001MS0005    ESCUELA DE EDUCACIÓN SECUNDARIA Nº5 "PERITO FRANCISCO MORENO"    TOLOSA                                 ESCUELA SECUNDARIA
0001MS0005    ESCUELA DE EDUCACIÓN SECUNDARIA Nº5 "PERITO FRANCISCO MORENO"    TOLOSA                                 ESCUELA SECUNDARIA
0001MS0007    ESCUELA DE EDUCACIÓN SECUNDARIA Nº7 "REPUBLICA ARGENTINA"        ARTURO SEGUI                           ESCUELA SECUNDARIA
0001MS0007    ESCUELA DE EDUCACIÓN SECUNDARIA Nº7 "REPUBLICA ARGENTINA"        ARTURO SEGUI                           ESCUELA SECUNDARIA
0001MS0007    ESCUELA DE EDUCACIÓN SECUNDARIA Nº7 "REPUBLICA ARGENTINA"        ARTURO SEGUI                           ESCUELA SECUNDARIA
0001MS0008    ESCUELA DE EDUCACIÓN SECUNDARIA Nº8 "PEDRO BENOIT"               LA PLATA                               ESCUELA SECUNDARIA
0001MS0008    ESCUELA DE EDUCACIÓN SECUNDARIA Nº8 "PEDRO BENOIT"               LA PLATA                               ESCUELA SECUNDARIA
0001MS0008    ESCUELA DE EDUCACIÓN SECUNDARIA Nº8 "PEDRO BENOIT"               LA PLATA                               ESCUELA SECUNDARIA
0001MS0009    ESCUELA DE EDUCACIÓN SECUNDARIA Nº9                              LISANDRO OLMOS                         ESCUELA SECUNDARIA
0001MS0009    ESCUELA DE EDUCACIÓN SECUNDARIA Nº9                              LISANDRO OLMOS                         ESCUELA SECUNDARIA
0001MS0011    ESCUELA DE EDUCACIÓN SECUNDARIA Nº11 "JUAN MANTOVANI"            LA PLATA                               ESCUELA SECUNDARIA
0001MS0011    ESCUELA DE EDUCACIÓN SECUNDARIA Nº11 "JUAN MANTOVANI"            LA PLATA                               ESCUELA SECUNDARIA
0001MS0012    ESCUELA DE EDUCACIÓN SECUNDARIA Nº12 "MANUEL B GONNET"           MANUEL B. GONNET                       ESCUELA SECUNDARIA
0001MS0012    ESCUELA DE EDUCACIÓN SECUNDARIA Nº12 "MANUEL B GONNET"           MANUEL B. GONNET                       ESCUELA SECUNDARIA
0001MS0013    ESCUELA DE EDUCACIÓN SECUNDARIA Nº13 "SOLDADOS DE MALVINAS"      LA PLATA                               ESCUELA SECUNDARIA
0001MS0014    ESCUELA DE EDUCACIÓN SECUNDARIA Nº14 "CARLOS VERGARA"            LA PLATA                               ESCUELA SECUNDARIA
0001MS0014    ESCUELA DE EDUCACIÓN SECUNDARIA Nº14 "CARLOS VERGARA"            LA PLATA                               ESCUELA SECUNDARIA
0001MS0015    ESCUELA DE EDUCACIÓN SECUNDARIA Nº15 "LUIS F. LELOIR"            City Bell                              ESCUELA SECUNDARIA
0001MS0016    ESCUELA DE EDUCACIÓN SECUNDARIA Nº16 "HIPOLITO YRIGOYEN"         LOS HORNOS                             ESCUELA SECUNDARIA
